# prefix,country_code,region_code,city,postal
2001:67c:688:1000::/52,EU,,,
2001:67c:688:1000::/56,BE,,,
2001:67c:688:1100::/56,NL,,,
2001:67c:688:1200::/56,FR,,,
2001:67c:688:1300::/56,DE,,,
2001:67c:688:1400::/56,GB,,,
2001:67c:688:1500::/56,CH,,,
2001:67c:688:1600::/56,CA,,,
2001:67c:688:2000::/52,EU,,,
2001:67c:688:3000::/52,BE,BE-VWV,Westende,8434
2001:67c:688:4000::/52,FR,FR-HDF,Roubaix,59100
2001:67c:688:5000::/52,FR,FR-HDF,Gravelines,59820
2001:67c:688:6000::/52,NL,NL-NH,Amsterdam,
2001:67c:688:6000::/52,CH,CH-ZH,Zurich,
2001:67c:688:7000::/52,CA,CA-ON,Ontario,
